Country Name,Stringent Index,year,Gini Index,GDP per capita,Population Density,Hospital Beds,Quarter_only,Quarter,Marginal Mortality,Gini Category
Malta,52.78,2020,31.4,31796.82134,1610.4125,4.38,Q4,2020Q4,35.70513765882965,Medium
Mexico,71.76,2020,44.6,8841.27075,65.22752849,1.0,Q4,2020Q4,37.98214456710379,High
Moldova,57.41,2020,25.7,4375.778893,91.74732605,5.57,Q4,2020Q4,63.1847385138494,Low
Mongolia,75.46,2020,31.4,4001.251931,2.136237218,8.22,Q4,2020Q4,0.030055265622426518,Medium
Nepal,60.19,2020,30.0,1154.215176,202.0688804,0.28,Q4,2020Q4,4.688162293545657,Medium
Netherlands,78.7,2020,26.0,53467.92774,518.013068,2.91,Q4,2020Q4,29.057133847432848,Low
Niger,31.48,2020,32.9,579.5124958,18.72393858,0.27,Q4,2020Q4,0.14756965635622774,Medium
Panama,76.85,2020,50.9,13290.56083,57.87626045,1.92,Q4,2020Q4,38.432324519753166,Very High
Paraguay,52.78,2020,43.5,5365.472207,16.62154291,1.01,Q4,2020Q4,21.27582571025293,High
Peru,59.26,2020,43.7,6133.325524,25.65513984,1.64,Q4,2020Q4,33.299248423630026,High
Philippines,66.2,2020,40.7,3227.579102,375.8971862,0.99,Q4,2020Q4,3.3368645806849577,High
Poland,80.56,2020,28.5,15987.57537,123.8005749,6.11,Q4,2020Q4,68.71144859227417,Low
Portugal,76.85,2020,34.7,22299.40441,112.406676,3.53,Q4,2020Q4,47.92620355224942,Medium
Romania,76.85,2020,34.6,13082.30066,83.73283206,7.06,Q4,2020Q4,56.796563761176216,Medium
Serbia,60.19,2020,35.0,8098.709557,82.04454751,5.35,Q4,2020Q4,35.68567960637333,Medium
Slovenia,81.48,2020,24.0,25392.06511,104.4088814,4.25,Q4,2020Q4,121.14616544085648,Low
Spain,78.7,2020,34.9,27230.35999,94.81538375,2.95,Q4,2020Q4,40.21057029613546,Medium
Suriname,67.59,2020,39.2,4755.392217,3.81487831,2.89,Q4,2020Q4,2.9396538067700226,Medium
Sweden,69.44,2020,28.9,52653.75659,25.42094382,2.05,Q4,2020Q4,27.37253948976582,Low
Switzerland,60.19,2020,33.7,85897.78433,218.6344696,4.48,Q4,2020Q4,69.05400185016103,Medium
Thailand,63.89,2020,35.0,6985.643939,140.2287851,2.33,Q4,2020Q4,0.0027916786313360005,Medium
Tunisia,71.3,2020,33.7,3548.653637,77.07297245,2.38,Q4,2020Q4,36.83797396321063,Medium
Ukraine,54.63,2020,25.6,3709.769287,77.11428029,6.26,Q4,2020Q4,33.706345750025946,Low
United Kingdom,79.63,2020,32.6,40201.68124,277.2753854,2.43,Q4,2020Q4,54.01212506019195,Medium
Uruguay,70.37,2020,40.2,15789.68574,19.42045481,2.49,Q4,2020Q4,3.9129524020232025,High
Uzbekistan,42.59,2020,31.2,1978.280519,76.22006581,4.78,Q4,2020Q4,0.42874532563386125,Medium
Albania,60.19,2021,29.4,6413.283286,102.6155474,2.91,Q1,2021Q1,37.48667160324164,Low
Argentina,71.76,2021,42.4,10738.01792,16.55733057,3.34,Q1,2021Q1,27.835720739814448,High
